TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec,is_faculty
201502,Winter 2016,BI,410,BI410,26797,"Sutherland, Kelly Christine Rakow",0,1,6,4,3,3,0,0,0,0,0,0,0,0,0,0,0,17,7,10,0,0,0,17,41.17647059,58.82352941,0,0,0,0
201503,Spring 2016,BI,410,BI410,36104,"Wetherwax, Peter Brian",0,3,5,3,4,3,0,0,0,0,0,0,0,0,0,0,0,18,8,10,0,0,0,18,44.44444444,55.55555556,0,0,0,0
201503,Spring 2016,BI,410,BI410,36474,"Niell, Cristopher M.",2,3,5,5,2,1,0,2,0,0,0,0,0,0,0,0,0,20,10,8,2,0,0,20,50,40,10,0,0,0
201503,Spring 2016,BI,410,BI410,37043,"Jaramillo, Santiago",3,2,5,1,8,0,2,0,0,0,0,0,0,0,0,0,0,21,10,9,2,0,0,21,47.61904762,42.85714286,9.523809524,0,0,0
201402,Winter 2015,BI,420,BI420,26588,"Fierro, Javier",1,10,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,18,0,1,0,0,19,94.73684211,0,5.263157895,0,0,0
201303,Spring 2014,BI,422,BI422,33682,"Washbourne, Philip Eric",1,3,5,5,4,3,0,0,0,0,0,0,0,1,0,0,0,22,9,12,0,0,0,21,42.85714286,57.14285714,0,0,0,0
201402,Winter 2015,BI,422,BI422,26350,"Washbourne, Philip Eric",3,3,4,1,7,7,0,0,0,0,0,0,0,1,0,0,0,26,10,15,0,0,0,25,40,60,0,0,0,0
201502,Winter 2016,BI,422,BI422,21163,"Washbourne, Philip Eric",4,5,4,3,6,1,0,1,0,0,0,0,0,1,0,1,0,26,13,10,1,0,0,24,54.16666667,41.66666667,4.166666667,0,0,0
201401,Fall 2014,BI,423,BI423,16284,"Barkan, Alice",0,8,1,4,3,2,0,0,1,0,0,0,1,0,1,0,0,21,9,9,1,0,1,20,45,45,5,0,5,0
201502,Winter 2016,BI,423,BI423,26524,"Barkan, Alice",0,4,7,1,3,2,1,1,0,0,0,0,0,1,0,0,1,20,11,6,2,0,0,19,57.89473684,31.57894737,10.52631579,0,0,0
201303,Spring 2014,BI,424,BI424,38630,"Selker, Eric",1,5,7,3,1,0,0,1,1,0,0,0,0,1,0,0,0,20,13,4,2,0,0,19,68.42105263,21.05263158,10.52631579,0,0,0
