TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec
201501,Fall 2015,AAD,252,AAD252,10050,"Voelker-Morris, Julie Louise",0,12,22,9,7,5,1,4,2,0,2,0,1,3,0,0,2,68,34,21,7,2,1,65,52.30769231,32.30769231,10.76923077,3.076923077,1.538461538
201501,Fall 2015,AAD,252,AAD252,17060,"Voelker-Morris, Julie Louise",0,3,5,4,5,5,2,2,2,0,0,0,2,3,3,1,3,37,8,14,6,0,2,30,26.66666667,46.66666667,20,0,6.666666667
201501,Fall 2015,AAD,252,AAD252,17064,"Tanenbaum, Elizabeth Ann",0,22,10,2,2,3,0,1,0,0,0,0,0,0,0,0,0,40,32,7,1,0,0,40,80,17.5,2.5,0,0
201502,Winter 2016,AAD,252,AAD252,26489,"Tanenbaum, Elizabeth Ann",0,31,19,3,6,2,2,0,2,1,0,1,3,0,0,1,3,71,50,11,4,2,3,70,71.42857143,15.71428571,5.714285714,2.857142857,4.285714286
201502,Winter 2016,AAD,252,AAD252,26598,"Voelker-Morris, Julie Louise",0,3,4,3,4,5,2,5,2,2,0,0,3,2,4,0,2,39,7,12,9,2,3,33,21.21212121,36.36363636,27.27272727,6.060606061,9.090909091
201502,Winter 2016,AAD,252,AAD252,26599,"Tanenbaum, Elizabeth Ann",0,16,10,3,3,3,1,0,1,0,0,0,1,1,0,0,1,39,26,9,2,0,1,38,68.42105263,23.68421053,5.263157895,0,2.631578947
201503,Spring 2016,AAD,252,AAD252,30054,"Tanenbaum, Elizabeth Ann",0,30,18,6,5,3,1,1,1,1,0,0,0,1,0,0,0,67,48,14,3,1,0,66,72.72727273,21.21212121,4.545454545,1.515151515,0
201503,Spring 2016,AAD,252,AAD252,36125,"Voelker-Morris, Julie Louise",0,4,5,3,5,6,2,3,1,1,0,0,0,7,2,0,1,39,9,14,6,1,0,30,30,46.66666667,20,3.333333333,0
201503,Spring 2016,AAD,252,AAD252,36126,"Tanenbaum, Elizabeth Ann",0,22,7,3,3,2,0,1,0,0,0,0,0,1,1,0,1,40,29,8,1,0,0,38,76.31578947,21.05263158,2.631578947,0,0
201504,Summer 2016,AAD,252,AAD252,40067,"Tanenbaum, Elizabeth Ann",0,8,9,2,1,0,1,0,0,0,0,0,0,1,0,0,0,22,17,3,1,0,0,21,80.95238095,14.28571429,4.761904762,0,0
201504,Summer 2016,AAD,252,AAD252,42140,"Voelker-Morris, Julie Louise",0,3,7,4,3,6,4,1,2,0,1,0,2,1,1,0,0,35,10,13,7,1,2,33,30.3030303,39.39393939,21.21212121,3.03030303,6.060606061
201504,Summer 2016,AAD,252,AAD252,42146,"Gurley, Gregory C.",0,25,4,1,2,0,0,1,0,0,0,0,0,1,0,0,0,34,29,3,1,0,0,33,87.87878788,9.090909091,3.03030303,0,0
201303,Spring 2014,AAD,301,AAD301,39307,"Fenn, John B.",0,15,7,5,5,4,2,2,1,2,0,0,0,0,0,1,2,44,22,14,5,2,0,43,51.1627907,32.55813953,11.62790698,4.651162791,0
201402,Winter 2015,AAD,301,AAD301,26356,"Fenn, John B.",0,18,4,6,2,4,2,0,0,0,0,0,0,1,0,0,2,37,22,12,2,0,0,36,61.11111111,33.33333333,5.555555556,0,0
201404,Summer 2015,AAD,301,AAD301,42363,"Bretz, David Le Roy",0,12,3,2,3,0,0,1,0,0,0,0,0,0,0,0,0,21,15,5,1,0,0,21,71.42857143,23.80952381,4.761904762,0,0
201502,Winter 2016,AAD,301,AAD301,26600,"Bretz, David Le Roy",0,27,6,1,1,1,0,0,1,0,0,0,0,1,0,0,2,38,33,3,1,0,0,37,89.18918919,8.108108108,2.702702703,0,0
201503,Spring 2016,AAD,301,AAD301,36036,"Kreps, Christina Faye",0,12,6,4,3,7,6,1,2,0,1,0,2,1,0,1,3,46,18,14,9,1,2,44,40.90909091,31.81818182,20.45454545,2.272727273,4.545454545
201504,Summer 2016,AAD,301,AAD301,40068,"Bretz, David Le Roy",0,21,5,0,0,0,1,0,0,0,0,0,1,1,0,1,0,30,26,0,1,0,1,28,92.85714286,0,3.571428571,0,3.571428571
201401,Fall 2014,AAD,312,AAD312,16788,"Redaelli, Eleonora",0,21,5,6,0,0,3,0,1,0,0,0,1,0,0,0,1,37,26,6,4,0,1,37,70.27027027,16.21621622,10.81081081,0,2.702702703
201501,Fall 2015,AAD,312,AAD312,10051,"Redaelli, Eleonora",0,22,8,1,1,0,1,0,0,0,0,0,1,0,0,0,1,34,30,2,1,0,1,34,88.23529412,5.882352941,2.941176471,0,2.941176471
201503,Spring 2016,AAD,312,AAD312,36127,"Tanenbaum, Elizabeth Ann",0,13,10,8,3,1,2,0,1,0,0,0,1,0,0,0,1,39,23,12,3,0,1,39,58.97435897,30.76923077,7.692307692,0,2.564102564
